Stock Name,Date,Open,High,Low,Close,Adj Close,Volume
HDFCLIFE,06-08-2020,608.400024,611.75,602.25,606.900024,606.900024,2596325
HDFCLIFE,07-08-2020,607.900024,613.849976,605.450012,606.950012,606.950012,1723752
HDFCLIFE,10-08-2020,616,617.950012,607,608.849976,608.849976,2028319
HDFCLIFE,11-08-2020,609.849976,613.900024,606.099976,608.75,608.75,1539043
HDFCLIFE,12-08-2020,609,617.700012,603.099976,608.75,608.75,3419606
HDFCLIFE,13-08-2020,610,614,598,599.75,599.75,2164005
HDFCLIFE,14-08-2020,600,602.400024,585.650024,587.75,587.75,3151495
HDFCLIFE,17-08-2020,591.400024,594.200012,585.950012,589.099976,589.099976,1335395
HDFCLIFE,18-08-2020,590.5,600.650024,589,597.599976,597.599976,2224729
HDFCLIFE,19-08-2020,600,607.950012,598.950012,603.450012,603.450012,2344923
HDFCLIFE,20-08-2020,599,600,590.099976,595.049988,595.049988,1490688
HDFCLIFE,21-08-2020,599.200012,608.900024,596.150024,598.099976,598.099976,2008763
HDFCLIFE,24-08-2020,599.799988,605.450012,597.049988,598.75,598.75,1893376
HDFCLIFE,25-08-2020,599,603.599976,593,599.799988,599.799988,1802567
HDFCLIFE,26-08-2020,603,603,588.650024,592.049988,592.049988,2950978
HDFCLIFE,27-08-2020,594.200012,600,591.150024,596.049988,596.049988,2947058
HDFCLIFE,28-08-2020,600,603.5,588.150024,589.349976,589.349976,3638604
HDFCLIFE,31-08-2020,594.75,594.75,567.049988,574.799988,574.799988,3754563
HDFCLIFE,01-09-2020,581.5,586,570.75,579.299988,579.299988,3407301
HDFCLIFE,02-09-2020,581.400024,590,576.799988,580.849976,580.849976,2500786
HDFCLIFE,03-09-2020,583.700012,589,579.25,582.200012,582.200012,1896035
HDFCLIFE,04-09-2020,570,581,569.049988,574.650024,574.650024,2618737
HDFCLIFE,07-09-2020,576.599976,594.5,571.150024,591.849976,591.849976,3374335
HDFCLIFE,08-09-2020,593.5,595.150024,579.5,581.849976,581.849976,1896544
HDFCLIFE,09-09-2020,588.900024,593,582.650024,585.700012,585.700012,3391865
HDFCLIFE,10-09-2020,589.599976,603,587.400024,601.599976,601.599976,3792160
HDFCLIFE,11-09-2020,608,612.700012,601.599976,604.799988,604.799988,4564379
HDFCLIFE,14-09-2020,610,610,595.200012,599.450012,599.450012,2269701
HDFCLIFE,15-09-2020,601.950012,601.950012,591.049988,594.200012,594.200012,2371832
HDFCLIFE,16-09-2020,594.5,604.950012,592.799988,598.599976,598.599976,2164876
HDFCLIFE,17-09-2020,593.099976,598.099976,588.299988,591.849976,591.849976,1532457
HDFCLIFE,18-09-2020,594,594.799988,583.5,585.099976,585.099976,2587272
HDFCLIFE,21-09-2020,587,589.799988,577.25,579.349976,579.349976,1565889
HDFCLIFE,22-09-2020,576,587.5,566.299988,579.400024,579.400024,2359295
HDFCLIFE,23-09-2020,581.25,586.099976,575.599976,580.25,580.25,2210606
HDFCLIFE,24-09-2020,574.799988,580.799988,572.700012,577.650024,577.650024,3043353
HDFCLIFE,25-09-2020,577.299988,580.5,571.25,577.5,577.5,2059527
HDFCLIFE,28-09-2020,579.200012,583.299988,577.049988,581.200012,581.200012,1591462
HDFCLIFE,29-09-2020,586.799988,586.799988,563.75,570.799988,570.799988,4157096
HDFCLIFE,30-09-2020,571.799988,571.950012,555.950012,559.400024,559.400024,4906751
HDFCLIFE,01-10-2020,568,572,562.25,569.200012,569.200012,1477355
HDFCLIFE,05-10-2020,572,576.950012,565.349976,574.75,574.75,2490303
HDFCLIFE,06-10-2020,577.5,586.200012,575.75,582.049988,582.049988,5665979
HDFCLIFE,07-10-2020,585,587.150024,575,578.950012,578.950012,2588117
HDFCLIFE,08-10-2020,586.5,586.5,577.099976,583.150024,583.150024,9288093
HDFCLIFE,09-10-2020,587,589,568.599976,573.799988,573.799988,4555998
HDFCLIFE,12-10-2020,576.450012,577,560.200012,563.400024,563.400024,2349521
HDFCLIFE,13-10-2020,564.400024,571.950012,559.700012,566.700012,566.700012,2122487
HDFCLIFE,14-10-2020,564.900024,574.799988,558,572.349976,572.349976,3958474
HDFCLIFE,15-10-2020,573,574,560.049988,561.5,561.5,1772762
HDFCLIFE,16-10-2020,562.950012,566.25,559.5,561.150024,561.150024,2117294
HDFCLIFE,19-10-2020,565.900024,574.299988,564.299988,570.5,570.5,3362350
HDFCLIFE,20-10-2020,574.599976,581,567,571,571,6496843
HDFCLIFE,21-10-2020,574.5,577.450012,556,562.700012,562.700012,3457773
HDFCLIFE,22-10-2020,563,566.799988,558.150024,561.099976,561.099976,2967121
HDFCLIFE,23-10-2020,563,580.650024,559.650024,564.5,564.5,21418349
HDFCLIFE,26-10-2020,566.75,582.650024,563.5,578.650024,578.650024,8486218
HDFCLIFE,27-10-2020,582.900024,591.5,580,587.299988,587.299988,5959783
HDFCLIFE,28-10-2020,590.75,594.799988,583.650024,586.150024,586.150024,4062087
HDFCLIFE,29-10-2020,582,588,580.349976,586.099976,586.099976,1671983
HDFCLIFE,30-10-2020,590,598.200012,584,589.75,589.75,3789450
HDFCLIFE,02-11-2020,590.799988,594.5,585.599976,587.5,587.5,2206055
HDFCLIFE,03-11-2020,590.400024,601.599976,590,599.049988,599.049988,3646651
HDFCLIFE,04-11-2020,591.099976,603.900024,591.099976,594.25,594.25,1919838
HDFCLIFE,05-11-2020,600.150024,602.5,590,592.049988,592.049988,2350192
HDFCLIFE,06-11-2020,593,598.599976,588.849976,590.599976,590.599976,1990463
HDFCLIFE,09-11-2020,596,599,587.75,592.849976,592.849976,2978907
HDFCLIFE,10-11-2020,595,615.099976,590.400024,609.650024,609.650024,4801645
HDFCLIFE,11-11-2020,616.950012,626.799988,614.25,623.450012,623.450012,6526986
HDFCLIFE,12-11-2020,623.849976,633.099976,618.400024,630.400024,630.400024,3555249
HDFCLIFE,13-11-2020,625,630.349976,617.950012,627.5,627.5,5036293
HDFCLIFE,14-11-2020,null,null,null,null,null,null
HDFCLIFE,17-11-2020,638.700012,674,635,670.049988,670.049988,9740753
HDFCLIFE,18-11-2020,672.5,676.099976,661.200012,664.799988,664.799988,3642631
HDFCLIFE,19-11-2020,661,670.75,643,646.049988,646.049988,4212122
HDFCLIFE,20-11-2020,647.349976,668.549988,647.349976,663.900024,663.900024,3045488
HDFCLIFE,23-11-2020,667.200012,674.299988,655.950012,661.299988,661.299988,3011294
HDFCLIFE,24-11-2020,665.5,666.400024,651.400024,664.150024,664.150024,2108847
HDFCLIFE,25-11-2020,672.450012,688.5,661.849976,665.099976,665.099976,6798974
HDFCLIFE,26-11-2020,668,675.400024,658.150024,660.799988,660.799988,3804983
HDFCLIFE,27-11-2020,663.700012,664.099976,642.150024,646.799988,646.799988,9917761
HDFCLIFE,01-12-2020,653.25,656,639.5,641.900024,641.900024,4569057
HDFCLIFE,02-12-2020,644,646.900024,630.200012,636.5,636.5,6126982
HDFCLIFE,03-12-2020,626.099976,650.700012,625,647.950012,647.950012,26754679
HDFCLIFE,04-12-2020,652,654.950012,640.099976,643.25,643.25,4452423
HDFCLIFE,07-12-2020,645.099976,651.400024,641.849976,649.549988,649.549988,4644396
HDFCLIFE,08-12-2020,652.549988,657.700012,644,651.5,651.5,4409047
HDFCLIFE,09-12-2020,655.5,656.5,645,652.599976,652.599976,4512763
HDFCLIFE,10-12-2020,656.099976,661,645.650024,659.450012,659.450012,5582666
HDFCLIFE,11-12-2020,663.900024,668.349976,655.25,664.5,664.5,6275768
HDFCLIFE,14-12-2020,667.450012,668,653.25,655.75,655.75,2696137
HDFCLIFE,15-12-2020,659.900024,663.950012,644.75,651.450012,651.450012,4819043
HDFCLIFE,16-12-2020,655.400024,655.75,647.25,648.700012,648.700012,2540833
HDFCLIFE,17-12-2020,651,661.200012,650.25,654.549988,654.549988,4660373
HDFCLIFE,18-12-2020,656.299988,656.299988,640,654.099976,654.099976,2540821
HDFCLIFE,21-12-2020,646,653.150024,617.400024,629.200012,629.200012,3004002
HDFCLIFE,22-12-2020,630,643.25,620.599976,641.25,641.25,3085304
HDFCLIFE,23-12-2020,641.25,649.900024,633.75,648.599976,648.599976,2940595
HDFCLIFE,24-12-2020,651.700012,663.599976,649,657.25,657.25,3776278
HDFCLIFE,28-12-2020,661.849976,680,657.700012,678.700012,678.700012,5624012
HDFCLIFE,29-12-2020,683,686.349976,670.150024,673.200012,673.200012,4102480
HDFCLIFE,30-12-2020,679,679,667,675.700012,675.700012,2886107
HDFCLIFE,31-12-2020,676.700012,679,669.549988,676.5,676.5,2959814
HDFCLIFE,01-01-2021,676.5,680.799988,675,678.400024,678.400024,1264311
HDFCLIFE,04-01-2021,680.349976,697.599976,680.349976,695.849976,695.849976,5031655
HDFCLIFE,05-01-2021,691.099976,715,690.25,713.75,713.75,6955494
HDFCLIFE,06-01-2021,713,720.5,705.400024,719.049988,719.049988,3582162
HDFCLIFE,07-01-2021,720,723.799988,702.5,704.299988,704.299988,3284785
HDFCLIFE,08-01-2021,715.400024,721.950012,708.099976,717,717,2841346
HDFCLIFE,11-01-2021,720.900024,731,715.700012,725.099976,725.099976,3216546
HDFCLIFE,12-01-2021,727,727,714.200012,718.400024,718.400024,1607350
HDFCLIFE,13-01-2021,718.450012,724.700012,708.549988,713.25,713.25,2639680
HDFCLIFE,14-01-2021,713,718.549988,702.549988,706.900024,706.900024,1995368
HDFCLIFE,15-01-2021,708.400024,717,702.200012,704.849976,704.849976,2417123
HDFCLIFE,18-01-2021,703,709.299988,689,693.950012,693.950012,2381523
HDFCLIFE,19-01-2021,695,701.549988,693.700012,698.549988,698.549988,2016585
HDFCLIFE,20-01-2021,700,711.849976,700,702.950012,702.950012,2495461
HDFCLIFE,21-01-2021,710,711.900024,699,700.5,700.5,2254977
HDFCLIFE,22-01-2021,702.700012,708.799988,684.099976,687.400024,687.400024,2644349
HDFCLIFE,25-01-2021,695,699.5,665.650024,680.400024,680.400024,3532317
HDFCLIFE,27-01-2021,685,695,673.049988,682.849976,682.849976,3629780
HDFCLIFE,28-01-2021,679.5,683.049988,670.099976,671.799988,671.799988,1964058
HDFCLIFE,29-01-2021,673.650024,684.950012,668.150024,677.950012,677.950012,4598451
HDFCLIFE,01-02-2021,678.299988,713.299988,668.5,699.049988,699.049988,8383807
HDFCLIFE,02-02-2021,710.5,712,674.5,681.049988,681.049988,6702065
HDFCLIFE,03-02-2021,685,695,679,689.200012,689.200012,2902411
HDFCLIFE,04-02-2021,685.25,690.650024,678.150024,680.400024,680.400024,3379697
HDFCLIFE,05-02-2021,682.599976,684.950012,672.400024,681.549988,681.549988,2759333
HDFCLIFE,08-02-2021,685.849976,691.400024,677.25,684.049988,684.049988,3887493
HDFCLIFE,09-02-2021,688.700012,710.200012,687.950012,704.900024,704.900024,7331068
HDFCLIFE,10-02-2021,710.049988,723.900024,710,719.049988,719.049988,8514545
HDFCLIFE,11-02-2021,721,726.450012,710.299988,714.200012,714.200012,3044979
HDFCLIFE,12-02-2021,713.950012,720,708.25,710.950012,710.950012,1760221
HDFCLIFE,15-02-2021,713.5,717.349976,694.200012,695.25,695.25,3871100
HDFCLIFE,16-02-2021,696.400024,704,686.950012,695.349976,695.349976,3066134
HDFCLIFE,17-02-2021,696,711.5,693,703.099976,703.099976,3533494
HDFCLIFE,18-02-2021,703.5,715.950012,702,713.450012,713.450012,2949918
HDFCLIFE,19-02-2021,715.299988,723.450012,703.099976,710.650024,710.650024,3787638
HDFCLIFE,22-02-2021,711,713.650024,688.049988,690.599976,690.599976,3110151
HDFCLIFE,23-02-2021,693.5,712.849976,690.150024,705.700012,705.700012,4693570
HDFCLIFE,24-02-2021,712.049988,721.5,697,718.799988,718.799988,2362499
HDFCLIFE,25-02-2021,724,744,721,733.5,733.5,5635556
HDFCLIFE,26-02-2021,725.950012,730.900024,693.950012,700.650024,700.650024,13122512
HDFCLIFE,01-03-2021,711.299988,713.5,700.150024,705.25,705.25,2210665
HDFCLIFE,02-03-2021,714.950012,727.799988,706.25,720.799988,720.799988,2446910
HDFCLIFE,03-03-2021,724,731.5,721.099976,727.5,727.5,1714037
HDFCLIFE,04-03-2021,721,728.5,713,720.5,720.5,2122634
HDFCLIFE,05-03-2021,723,724.75,711.299988,717.25,717.25,2140241
HDFCLIFE,08-03-2021,721.900024,736.950012,715,722.950012,722.950012,3203722
HDFCLIFE,09-03-2021,732,746,732,740.200012,740.200012,5412952
HDFCLIFE,10-03-2021,743.150024,746,725.099976,731.349976,731.349976,2422642
HDFCLIFE,12-03-2021,739.799988,739.799988,710,710.799988,710.799988,3271450
HDFCLIFE,15-03-2021,712,715,695.5,704.150024,704.150024,2394116
HDFCLIFE,16-03-2021,707.700012,710.599976,700,703.049988,703.049988,1619213
HDFCLIFE,17-03-2021,706.5,707.099976,687.5,689.799988,689.799988,2100094
HDFCLIFE,18-03-2021,695.099976,699.25,675.099976,680.849976,680.849976,2124421
HDFCLIFE,19-03-2021,679.950012,690,673.849976,688.450012,688.450012,3146999
HDFCLIFE,22-03-2021,689.450012,694.75,678.25,679.849976,679.849976,2585880
HDFCLIFE,23-03-2021,683.849976,689.450012,680.650024,683.549988,683.549988,2207365
HDFCLIFE,24-03-2021,679.200012,686.849976,675.049988,676.5,676.5,1735370
HDFCLIFE,25-03-2021,676.5,677.549988,662,667,667,2743208
HDFCLIFE,26-03-2021,672.400024,676.799988,666.549988,671.700012,671.700012,1761492
HDFCLIFE,30-03-2021,675.5,693.299988,675,687.75,687.75,3467882
HDFCLIFE,31-03-2021,688,697.799988,681,696.200012,696.200012,2368424
HDFCLIFE,01-04-2021,699.799988,704.349976,682.299988,691,691,3443437
HDFCLIFE,05-04-2021,697.900024,698,676.099976,682.150024,682.150024,2074674
HDFCLIFE,06-04-2021,686.450012,701.049988,680.549988,697.150024,697.150024,1427470
HDFCLIFE,07-04-2021,704.450012,705,695.200012,699.849976,699.849976,2890361
HDFCLIFE,08-04-2021,700,706,697.299988,701.450012,701.450012,1817393
HDFCLIFE,09-04-2021,700,703.200012,690.5,694.849976,694.849976,1586783
HDFCLIFE,12-04-2021,685,690,679.599976,687.299988,687.299988,3457470
HDFCLIFE,13-04-2021,689.150024,710.700012,685,706.099976,706.099976,4171978
HDFCLIFE,15-04-2021,713.150024,713.700012,688,694.450012,694.450012,2566125
HDFCLIFE,16-04-2021,694.5,701.299988,689.099976,690.650024,690.650024,2784995
HDFCLIFE,19-04-2021,682.049988,684.450012,661.549988,665.950012,665.950012,4936620
HDFCLIFE,20-04-2021,670.099976,689,670.099976,685.200012,685.200012,5373233
HDFCLIFE,22-04-2021,672,682.799988,672,679.049988,679.049988,2526780
HDFCLIFE,23-04-2021,679,691.400024,676.349976,686.349976,686.349976,3140377
